year,county,state,total_pop,vet_pop,vet_percentage,vet_percentage_delta_2019_2021
2015,Kerr County,Texas,41106,4637,11.28,
2015,Kershaw County,South Carolina,48461,6420,13.25,
2015,Kewaunee County,Wisconsin,16035,1086,6.77,
2015,King County,Washington,1676967,109448,6.53,
2015,King George County,Virginia,18416,3301,17.92,
2015,Kings County,California,105257,10196,9.69,
2015,Kings County,New York,2023726,38511,1.9,
2015,Kitsap County,Washington,193818,32884,16.97,
2015,Kittitas County,Washington,35826,2981,8.32,
2015,Klamath County,Oregon,51746,7640,14.76,
2015,Kleberg County,Texas,22345,1589,7.11,
2015,Klickitat County,Washington,16167,2758,17.06,
2015,Knox County,Illinois,41280,3404,8.25,
2015,Knox County,Indiana,30277,2285,7.55,
2015,Knox County,Kentucky,24067,1797,7.47,
2015,Knox County,Maine,32162,2739,8.52,
2015,Knox County,Ohio,46370,4373,9.43,
2015,Knox County,Tennessee,355051,31323,8.82,
2015,Kootenai County,Idaho,114997,12955,11.27,
2015,Kosciusko County,Indiana,59355,4187,7.05,
2015,La Crosse County,Wisconsin,94487,8206,8.68,
2015,La Paz County,Arizona,16109,2375,14.74,
2015,La Plata County,Colorado,44158,3481,7.88,
2015,LaGrange County,Indiana,25767,1293,5.02,
2015,LaPorte County,Indiana,86375,8336,9.65,
2015,LaSalle County,Illinois,87219,9236,10.59,
2015,Labette County,Kansas,15563,1578,10.14,
2015,Lackawanna County,Pennsylvania,169157,14679,8.68,
2015,Laclede County,Missouri,26588,2848,10.71,
2015,Lafayette County,Mississippi,43585,2294,5.26,
2015,Lafayette County,Missouri,25105,1948,7.76,
2015,Lafayette Parish,Louisiana,182203,12006,6.59,
2015,Lafourche Parish,Louisiana,75086,4192,5.58,
2015,Lajas Municipio,Puerto Rico,null,null,NaN,
2015,Lake County,California,51258,6458,12.6,
2015,Lake County,Florida,261345,31610,12.1,
2015,Lake County,Illinois,517474,32757,6.33,
2015,Lake County,Indiana,369748,25998,7.03,
2015,Lake County,Montana,22256,2293,10.3,
2015,Lake County,Ohio,181524,16687,9.19,
2015,Lamar County,Mississippi,44533,3201,7.19,
2015,Lamar County,Texas,37700,3859,10.24,
2015,Lamoille County,Vermont,19940,1952,9.79,
2015,Lampasas County,Texas,15092,2532,16.78,
2015,Lancaster County,Nebraska,235295,15898,6.76,
2015,Lancaster County,Pennsylvania,407762,30565,7.5,
2015,Lancaster County,South Carolina,66946,5533,8.26,
2015,Lane County,Oregon,294010,25836,8.79,
2015,Lapeer County,Michigan,69233,5186,7.49,
2015,Laramie County,Wyoming,72431,9993,13.8,
2015,Lares Municipio,Puerto Rico,null,null,NaN,
2015,Larimer County,Colorado,265663,23030,8.67,
2015,Las Piedras Municipio,Puerto Rico,null,null,NaN,
2015,Lassen County,California,26788,2544,9.5,
2015,Latah County,Idaho,31726,1975,6.23,
2015,Lauderdale County,Alabama,73839,5928,8.03,
2015,Lauderdale County,Mississippi,59196,5394,9.11,
2015,Lauderdale County,Tennessee,20113,1167,5.8,
2015,Laurel County,Kentucky,46171,3255,7.05,
2015,Laurens County,Georgia,35490,3350,9.44,
